MANDT,MATNR,VKORG,VTWEG,LVORM,VERSG,BONUS,PROVG,SKTOF,VMSTA,VMSTD,AUMNG,LFMNG,EFMNG,SCMNG,SCHME,VRKME,MTPOS,DWERK,PRODH,PMATN,KONDM,KTGRM,MVGR1,MVGR2,MVGR3,MVGR4,MVGR5,SSTUF,PFLKS,LSTFL,LSTVZ,LSTAK,LDVFL,LDBFL,LDVZL,LDBZL,VDVFL,VDBFL,VDVZL,VDBZL,PRAT1,PRAT2,PRAT3,PRAT4,PRAT5,PRAT6,PRAT7,PRAT8,PRAT9,PRATA,RDPRF,MEGRU,LFMAX,RJART,PBIND,VAVME,MATKC,PVMSO,/BEV1/EMLGRP,/BEV1/EMDRCKSPL,/BEV1/RPBEZME,/BEV1/RPSNS,/BEV1/RPSFA,/BEV1/RPSKI,/BEV1/RPSCO,/BEV1/RPSSO,/SIE/SF_LO_LEAD_MDM,PLGTP,ZZVMSTA,YYLASTUPD,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-002941,SORG-01,O1,,1,,,X,99,20250403,0.000,0.000,0.000,0.000,,,NORM,PLNT-38,602D00012-00090009,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250403,115819,2025-04-03 11:59:02.112,2025-04-03 12:12:50.753
500,MAT-002343,SORG-01,O1,,1,,,X,99,20230803,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00006-00010000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250422,201606,2025-04-22 20:19:24.486,2025-04-22 20:39:27.548
500,MAT-001834,SORG-02,O1,,1,05,,,99,20250703,1.000,0.000,0.000,0.000,,,NORM,PLNT-47,602E00023-00010000,,,42,Z03,A63,ZI6,ZFD,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,20250703205900,20250703,211527,2025-07-03 21:17:52.622,2025-07-03 21:38:50.081
500,MAT-002894,SORG-01,O1,,1,,,X,99,20241106,0.000,0.000,0.000,0.000,,,NORM,PLNT-40,602E00005-00010003,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20241215,100015,2024-12-15 10:00:26.370,2024-12-15 10:39:39.990
500,MAT-003590,SORG-13,O1,,1,,,,99,20260213,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M20901-90100000,,,,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20260213,164205,2026-02-13 16:42:20.263,2026-02-13 17:08:56.360
500,MAT-000549,SORG-13,O1,,1,,,,99,20250909,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M20901-90100000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250909,122706,2025-09-09 12:27:41.742,2025-09-09 12:42:21.053
500,MAT-003140,SORG-12,O1,,1,,LI,X,99,20240729,0.000,0.000,0.000,0.000,,,NORM,PLNT-16,802M07901-09610876,,,,DX1,GQ,101,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20240729,142122,2024-07-29 14:21:34.900,2024-07-29 14:21:55.483
500,MAT-003005,SORG-01,O1,,1,,,X,99,20250922,0.000,0.000,0.000,0.000,,,NORM,PLNT-40,602D00040-00091180,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251021,113454,2025-10-21 11:38:43.022,2025-10-21 12:09:23.746
500,MAT-002580,SORG-13,O1,,1,,,X,99,20241206,0.000,0.000,0.000,0.000,,,NORM,PLNT-21,802M20802-80200000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20241206,165944,2024-12-06 17:02:54.487,2024-12-06 17:09:11.471
500,MAT-002309,SORG-01,O1,,1,,,X,99,20240627,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00038-00010000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250117,203248,2025-01-17 20:33:01.121,2025-01-17 20:40:57.799
