MANDT,MATNR,SPRAS,MAKTX,MAKTG,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-002640,Z,Product MAT-002640,Product MAT-002640,20251112,190722,2025-11-12 19:09:17.095,2025-11-12 19:38:39.954
500,MAT-004006,E,Product MAT-004006,Product MAT-004006,20251112,193110,2025-11-12 19:32:53.428,2025-11-12 19:38:39.954
500,MAT-004012,P,Product MAT-004012,Product MAT-004012,20251112,193616,2025-11-12 19:37:46.872,2025-11-12 19:38:39.954
500,MAT-002641,P,Product MAT-002641,Product MAT-002641,20251112,191430,2025-11-12 19:14:35.729,2025-11-12 19:38:39.954
500,MAT-002640,P,Product MAT-002640,Product MAT-002640,20251112,190722,2025-11-12 19:09:17.095,2025-11-12 19:38:39.954
500,MAT-000599,D,Product MAT-000599,Product MAT-000599,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000429,D,Product MAT-000429,Product MAT-000429,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000594,P,Product MAT-000594,Product MAT-000594,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000592,P,Product MAT-000592,Product MAT-000592,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000512,E,Product MAT-000512,Product MAT-000512,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000510,E,Product MAT-000510,Product MAT-000510,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000431,D,Product MAT-000431,Product MAT-000431,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000502,D,Product MAT-000502,Product MAT-000502,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000514,D,Product MAT-000514,Product MAT-000514,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000595,S,Product MAT-000595,Product MAT-000595,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000479,D,Product MAT-000479,Product MAT-000479,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000428,E,Product MAT-000428,Product MAT-000428,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000432,S,Product MAT-000432,Product MAT-000432,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000514,P,Product MAT-000514,Product MAT-000514,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000427,S,Product MAT-000427,Product MAT-000427,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000592,E,Product MAT-000592,Product MAT-000592,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000245,D,Product MAT-000245,Product MAT-000245,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000247,S,Product MAT-000247,Product MAT-000247,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000584,E,Product MAT-000584,Product MAT-000584,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000504,E,Product MAT-000504,Product MAT-000504,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000425,P,Product MAT-000425,Product MAT-000425,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000510,P,Product MAT-000510,Product MAT-000510,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000479,P,Product MAT-000479,Product MAT-000479,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000479,E,Product MAT-000479,Product MAT-000479,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000432,D,Product MAT-000432,Product MAT-000432,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000430,P,Product MAT-000430,Product MAT-000430,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000598,P,Product MAT-000598,Product MAT-000598,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000584,D,Product MAT-000584,Product MAT-000584,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000247,P,Product MAT-000247,Product MAT-000247,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000507,D,Product MAT-000507,Product MAT-000507,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000503,D,Product MAT-000503,Product MAT-000503,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-004011,E,Product MAT-004011,Product MAT-004011,20251112,193826,2025-11-12 19:42:43.743,2025-11-12 20:08:58.779
500,MAT-004008,E,Product MAT-004008,Product MAT-004008,20251112,194141,2025-11-12 19:42:43.743,2025-11-12 20:08:58.779
500,MAT-004011,P,Product MAT-004011,Product MAT-004011,20251112,193826,2025-11-12 19:42:43.743,2025-11-12 20:08:58.779
500,MAT-002645,E,Product MAT-002645,Product MAT-002645,20251112,221214,2025-11-12 22:12:32.145,2025-11-12 22:38:40.326
500,MAT-002645,Z,Product MAT-002645,Product MAT-002645,20251112,221214,2025-11-12 22:12:32.145,2025-11-12 22:38:40.326
500,MAT-001355,P,Product MAT-001355,Product MAT-001355,20251112,141521,2025-11-12 14:15:59.269,2025-11-12 14:39:59.277
