MANDT,MATNR,MEINH,UMREZ,UMREN,EANNR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,VOLUM,VOLEH,BRGEW,GEWEI,MESUB,ATINN,MESRT,XFHDW,XBEWW,KZWSO,MSEHI,BFLME_MARM,GTIN_VARIANT,NEST_FTR,MAX_STACK,CAPAUSE,TY2TQ,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-002228,ST,1,1,,,,1600.000,600.000,2500.000,MM,2400000000.000,MMQ,1150.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260224,132821,2026-02-24 13:28:51.694,2026-02-24 13:40:43.464
500,MAT-000203,ST,1,1,,,,0.000,0.000,0.000,,0.000,,0.500,KG,,0000000000,00,,,,,,,0,0,0.000,,20260219,070040,2026-02-19 07:01:00.624,2026-02-19 07:09:42.193
500,MAT-003610,ST,1,1,,,,0.000,0.000,0.000,MM,5.200,MMQ,660.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260224,165707,2026-02-24 16:57:13.551,2026-02-24 17:10:00.115
500,MAT-003064,ST,1,1,,,,0.000,0.000,0.000,,0.000,,0.460,KG,,0000000000,00,,,,,,,0,0,0.000,,20260120,151003,2026-01-20 15:13:28.749,2026-01-20 15:39:59.601
500,MAT-004025,ST,1,1,,4025515718918,HE,155.000,60.000,60.000,MM,558000.000,MMQ,0.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260302,174608,2026-03-02 17:48:14.718,2026-03-02 18:09:58.919
500,MAT-001182,ST,1,1,,,,0.000,0.000,0.000,,0.000,,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260210,163639,2026-02-10 16:36:50.536,2026-02-10 16:39:52.707
500,MAT-001543,ST,1,1,,,,10.000,20.000,30.000,MM,6000.000,MMQ,8.250,KG,,0000000000,00,,,,,,,0,0,0.000,,20260213,113109,2026-02-13 11:31:42.358,2026-02-13 11:39:48.360
500,MAT-002202,ST,1,1,,,,280.000,210.000,250.000,MM,14700000.000,MMQ,6.300,KG,,0000000000,00,,,,,,,0,0,0.000,,20260212,032000,2026-02-12 03:20:54.550,2026-02-12 03:39:25.647
500,MAT-000739,ST,1,1,,,,1500.000,470.000,700.000,MM,493500000.000,MMQ,230.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260128,010120,2026-01-28 01:01:34.971,2026-01-28 01:09:27.302
500,MAT-002150,SET,1,1,,,,280.000,210.000,250.000,MM,14700000.000,MMQ,3.500,KG,,0000000000,00,,,,,,,0,0,0.000,,20260119,122221,2026-01-19 12:22:33.174,2026-01-19 12:39:42.547
500,MAT-002487,ST,1,1,,,,0.000,0.000,0.000,,0.000,CCM,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260303,130837,2026-03-03 13:13:07.984,2026-03-03 13:40:28.937
500,MAT-004437,ST,1,1,,,,0.000,0.000,0.000,,0.000,,8.977,KG,,0000000000,00,,,,,,,0,0,0.000,,20260227,115951,2026-02-27 12:01:51.401,2026-02-27 12:11:47.430
500,MAT-001892,ST,1,1,,,,0.000,0.000,0.000,MM,5.200,MMQ,4869.500,KG,,0000000000,00,,,,,,,0,0,0.000,,20260210,180923,2026-02-10 18:13:48.990,2026-02-10 18:39:06.007
500,MAT-001520,ST,1,1,,,,10.000,20.000,30.000,MM,6000.000,MMQ,15.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260209,142111,2026-02-09 14:21:26.856,2026-02-09 14:40:14.704
500,MAT-000723,ST,1,1,,,,235.000,72.000,115.500,MM,1954260.000,MMQ,6.001,KG,,0000000000,00,,,,,,,0,0,0.000,,20260205,140911,2026-02-05 14:12:53.063,2026-02-05 14:40:08.202
500,MAT-000066,UN,1,1,,,,0.000,0.000,0.000,,0.000,,0.000,,,0000000000,00,,,,,,,0,0,0.000,,20260202,181635,2026-02-02 18:16:41.153,2026-02-02 18:39:06.117
500,MAT-002237,ST,1,1,,,,320.000,468.000,471.000,MM,70536960.000,MMQ,44.295,KG,,0000000000,00,,,,,,,0,0,0.000,,20260302,112337,2026-03-02 11:27:21.966,2026-03-02 11:41:03.937
